platform,title,clean_item_label,clip_id,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,filename,format,clip_length,size,resolution,date_added,source_file,imported_at,row_hash
Clips4Sale,SSBBW Ex Wants to Get Pregnant,SSBBW Ex Wants to Get Pregnant,29971791,18,251.7,151.02,13.98,8.39,lady sublime ssbbw no strings impregnation breeding fat pussy cum begging fertilization .mov,mov,00:09:47,5575,3840x2160,2024-10-27 23:12:04,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,ea33912d810ec7ec0ed29539f561c5a1c168171d26a334c58959176c6068c12c
Clips4Sale,SSBBW Feedee Stuffing and Makeout POV,SSBBW Feedee Stuffing and Makeout POV,29360577,10,249.83,149.9,24.98,14.99,lady sublime ssbbw food eating face stuffing close up pov watermark-4k clips4sale.mov,mov,00:19:10,5261,3840x2160,2024-07-03 10:00:07,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,641dfc66bab4356f3f60ea7f61c1dd2397036bbc3ead0cafb4c6c13de0d01eb6
Clips4Sale,Smelly SSBBW Makes You Worship Ass,Smelly SSBBW Makes You Worship Ass,28962713,11,230.82,138.49,20.98,12.59,lady sublime ssbbw fat ass armpit worship smelly stinky cum countdown watermark-4k clips4sale.mov,mov,00:19:22,5563,3840x2160,2024-04-24 21:00:07,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,223642653e317e625132b93b3942a26c9bda08d4e61d7381d180ba285cea1b33
Clips4Sale,Growing SSBBW Belly and Ass Worship,Growing SSBBW Belly and Ass Worship,30176343,9,224.85,134.91,24.98,14.99,lady sublime ssbbw fat stinky ass worship sweaty asshole licking cum countdown -4k clips4sale.mov,mov,00:23:12,5778,3840x2160,2024-12-05 10:00:06,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,10b67d6f7416d3dec8a16bf53f362594a78d6a83a81d0b90a7950e52bad41bab
Clips4Sale,SSBBW Girlfriend Grows into 14-foot Giantess,SSBBW Girlfriend Grows into 14-foot Giantess,29961257,10,219.83,131.9,21.98,13.19,lady sublime ssbbw giantess fetish growing taller bikini weight gain watermark-4k clips4sale.mov,mov,00:16:52,5620,3840x2160,2024-10-25 20:15:34,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,32f7357e6c43cc9aa063e2bde7a35fdfd9eae2e5129785bb5124d1738b79ebf3
Clips4Sale,SSBBW Rapid Growth Riding You POV,SSBBW Rapid Growth Riding You POV,28864735,9,206.85,124.11,22.98,13.79,lady sublime ssbbw growth fetish gaining weight tease  riding pov watermark-4k clips4sale.mov,mov,00:21:40,5495,3840x2160,2024-03-31 10:00:08,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,6da9aa63b43c7f791cd3b78bd810ca1645c57a7d3be305f235068971d28230ec
Clips4Sale,SSBBW Girlfriend Encourages Mutual Gain POV,SSBBW Girlfriend Encourages Mutual Gain POV,30186929,8,199.87,119.92,24.98,14.99,lady sublime ssbbw mutual gain encouragement smoking gaining weight feederism 4k clips4sale.mov,mov,00:20:13,5740,3840x2160,2024-12-09 10:00:07,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,feb74f11ca956e2ab388d47d12ff7534dd387949ad4f25e6d126fe4ef82d02cd
Clips4Sale,Chair Breaking Under Huge SSBBW,Chair Breaking Under Huge SSBBW,27682807,8,199.87,119.92,24.98,14.99,lady sublime bbw furniture crush plastic chair breaking obese fat heavy watermark-4k HDR.mov,mov,00:24:05,4615,1920x1080,2023-09-01 22:07:03,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,89e5a29d360cc0d39081d5e071f8ae2441d03559cd996834ff63fbbb47d0866b
Clips4Sale,Shy SSBBW Concierge Fucks You POV,Shy SSBBW Concierge Fucks You POV,29411945,11,197.82,118.69,17.98,10.79,lady sublime ssbbw pov fucking roleplay fat pussy big ass watermark-4k clips4sale.mov,mov,00:17:14,5560,3840x2160,2024-07-10 10:10:03,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,76b4763b54c3265a897abcf0cc986a2ecdcd78793d02339e20ad25c4db989014
Clips4Sale,Fat Friend Wants to be Friends with Benefits,Fat Friend Wants to be Friends with Benefits,28285473,11,186.82,112.09,16.98,10.19,lady sublime pov solos friends with benefits tease seduction fat watermark-4k clips4sale.mov,mov,00:15:20,5461,3840x2160,2023-11-21 10:00:06,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,fd4f3272b61aef321f42d45c5f2e014989239d1842ad907956c2710ccf946b68
Clips4Sale,SSBBW Rips Leggings and Fucks Pussy,SSBBW Rips Leggings and Fucks Pussy,30670805,9,179.85,107.91,19.98,11.99,lady sublime ssbbw  twek ass butthole fat pussy masturbation dildo fuck clips4sale.mov,mov,00:11:11,5672,3840x2160,2025-03-06 10:00:09,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,0252a7649ad52c5550a7900ccc264a913c0c7af71b0b83798b040b5a83e75293
Clips4Sale,Gaining SSBBW Stuffs Face Post-Workout,Gaining SSBBW Stuffs Face Post-Workout,30722815,9,179.85,107.91,19.98,11.99,lady sublime ssbbw leggings tight too fat weight gain food stuffing overeating -4k clips4sale.mov,mov,00:11:51,5672,3840x2160,2025-03-11 01:41:50,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,8afd3ab5c6312792c9b0fb7f98c3abd0c3733e6e1e9ed7f19e922daa005ee4ed
Clips4Sale,SSBBW Pussy Licking and Toe Sucking,SSBBW Pussy Licking and Toe Sucking,31696939,8,175.87,105.52,21.98,13.19,lady sublime ssbbw pantyhose toe sucking pov hairy pussy fat watermark-4k clips4sale.mov,mov,00:16:16,5664,3840x2160,2025-08-16 10:00:09,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,21592985244397f23f92b8db8abfc47bcb1b04e40f9c8d4990a37d69879a77ee
Clips4Sale,SSBBW Does Steamy Striptease for You,SSBBW Does Steamy Striptease for You,30746667,8,175.87,105.52,21.98,13.19,lady sublime ssbbw white bikini shower strip tease twerk jiggle watermark-4k clips4sale.mov,mov,00:15:49,5752,3840x2160,2025-03-17 10:48:30,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,d340b6c8ddd8c84337eb9fb6defef0cdc0233ecd8540fd1c9f6e8cefa483fea7
Clips4Sale,Your SSBBW Wife Denies Getting Fatter,Your SSBBW Wife Denies Getting Fatter,29059243,7,174.88,104.93,24.98,14.99,lady sublime ssbbw weight gain denial tight dress POV watermark-4k clips4sale.mov,mov,00:24:09,5604,3840x2160,2024-05-08 08:00:05,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,9e2643af517f4e71383d8d731f1cdaf00757a68972c86cb5dbc5cd8fdbccbd9e
Clips4Sale,SSBBW Psychologist Makes You Worship Belly,SSBBW Psychologist Makes You Worship Belly,29128127,7,174.88,104.93,24.98,14.99,lady sublime ssbbw fat therapy belly rubbing eating fat worship c4s.mov,mov,00:28:36,5546,3840x2160,2024-05-19 08:00:06,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,eeff9c2728c834ceca51df6312cb65e5ad9b6b4d65dfa571e3a1026b48b2ded4
Clips4Sale,Growing SSBBW Smokes Cigarette in Tight Shirt,Growing SSBBW Smokes Cigarette in Tight Shirt,31572629,9,170.85,102.51,18.98,11.39,lady sublime ssbbw smoking tight clothes try on stretching watermark-4k clips4sale.mov,mov,00:16:24,5690,3840x2160,2025-07-28 10:00:06,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,fa98275845f55a801809b23e6701331f0f53b51a5016abf5647c73c5284d751e
Clips4Sale,Horny SSBBW Squirts on First Date,Horny SSBBW Squirts on First Date,28923215,6,161.9,97.14,26.98,16.19,lady sublime ssbbw seduction blow job tit fuck squirting orgasm fat pussy final clips4sale.mov,mov,00:26:01,5717,3840x2160,2024-04-11 22:13:29,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,d89182ce69b4794998a402c7af0e541446d8c6e91ec5ae7e093bef15f9df9d83
Clips4Sale,SSBBW Jiggles Fat for Your Cum Part 2,SSBBW Jiggles Fat for Your Cum Part 2,30215799,9,161.85,97.11,17.98,10.79,lady sublime ssbbw jiggle tease catwalk heels fat worship big belly watermark-4k clips4sale.mov,mov,00:18:01,5849,3840x2160,2024-12-17 05:17:48,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,60c76bb518c3849838d4718f4711e3ba3a043abcca4b77e083f80f43af0e967b
Clips4Sale,Fat Dom GF Makes you Clean Sweaty Ass and Pussy,Fat Dom GF Makes you Clean Sweaty Ass and Pussy,27485631,10,159.83,95.9,15.98,9.59,lady sublime bbw sweaty dom girlfriend ass eating squirt pov wm.mp4,mp4,00:11:45,638,1920x1080,2023-05-03 20:00:11,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,0fba71160d6bc6f5c358bdc290956ff1b8f9972f9661935db6e5f5e8b43add5b
Clips4Sale,SSBBW Smokes After Thanksgiving Stuffing,SSBBW Smokes After Thanksgiving Stuffing,30154579,5,149.92,89.95,29.98,17.99,Lady sublime ssbbw thanksgiving food stuffing feederism smoking weight gain -4k clips4sale.mov,mov,00:30:28,5735,3840x2160,2024-11-29 22:40:06,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,47c320a702ac3fe92688e9ad5351675fd4397a660f76b1ee8fc65a4dcf302027
Clips4Sale,SSBBW Car Struggles and Topless Driving,SSBBW Car Struggles and Topless Driving,27990241,7,146.88,88.13,20.98,12.59,car driving.mov,mov,00:24:36,4513,3840x2160,2023-09-07 23:05:08,2026-07-03_07-31-50_title_summary_2026-01-01_to_2026-07-03_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv,2026-07-03T07:32:01,b222985981a3eb9458d8ded15cbc2ff1b5034e16791ce4f77d03c50f4bfa82ea
