platform,title,clean_item_label,item_id,price,sales_count,gross_amount,net_amount,avg_gross_per_sale,avg_net_per_sale,views,likes,status_or_category,first_date,last_date,first_offered_date,first_offered_basis,first_offered_confidence,recency_basis,grain,source_page,source_file,imported_at
ManyVids,Chair Breaking Under Huge SSBBW,Chair Breaking Under Huge SSBBW,4771683,19.99,41,813.58,488.15,19.84,11.91,1077.0,18.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fatty Catwalks in Black Skinny Jeans,Fatty Catwalks in Black Skinny Jeans,4752196,15.99,10,397.22,238.33,39.72,23.83,591.0,16.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Shiny Slippery Oil Play,SSBBW Shiny Slippery Oil Play,4749243,16.99,28,716.15,429.69,25.58,15.35,668.0,26.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,2,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Hot Fatty Stuffs a Dozen Ice Cream Sandwiches,Hot Fatty Stuffs a Dozen Ice Cream Sandwiches,4732911,15.99,22,346.98,208.19,15.77,9.46,691.0,17.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Lingerie Tease and JOI w Countdown,SSBBW Lingerie Tease and JOI w Countdown,4714033,14.99,10,388.22,232.93,38.82,23.29,390.0,20.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Ass Worship in Thong and Tights,SSBBW Ass Worship in Thong and Tights,4711610,15.99,32,726.62,435.97,22.71,13.62,615.0,39.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Stuffing Donuts Pussy Play and JOI,SSBBW Stuffing Donuts Pussy Play and JOI,4663342,15.99,29,646.1,387.66,22.28,13.37,879.0,28.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Workout Struggle in Lingerie,SSBBW Workout Struggle in Lingerie,4637237,14.99,11,443.2,265.92,40.29,24.17,668.0,10.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Devours a Pile of KFC,SSBBW Devours a Pile of KFC,4636647,17.99,28,473.32,283.99,16.9,10.14,1129.0,16.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Dom GF Makes you Clean Sweaty Ass and Pussy,Fat Dom GF Makes you Clean Sweaty Ass and Pussy,4626897,15.99,100,1282.2,769.32,12.82,7.69,1780.0,77.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fatty Stuffs T Bell and Weighs In,Fatty Stuffs T Bell and Weighs In,4604019,16.99,29,492.72,295.63,16.99,10.19,1028.0,18.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Plays with Fat Pussy and Bounces,SSBBW Plays with Fat Pussy and Bounces,4550140,13.99,32,364.58,218.75,11.39,6.84,914.0,36.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Catwalk in Skinny Jeans and Heels,SSBBW Catwalk in Skinny Jeans and Heels,4547711,20.99,10,400.55,240.33,40.05,24.03,527.0,16.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fatty Catwalks in Blue Lace and Heels,Fatty Catwalks in Blue Lace and Heels,4468418,16.99,25,658.52,395.11,26.34,15.8,1088.0,25.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Little Black Dress SSBBW Catwalk,Little Black Dress SSBBW Catwalk,4448243,16.99,26,668.83,401.3,25.72,15.43,1018.0,42.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Bloats and Burps,SSBBW Bloats and Burps,4321703,12.99,18,199.92,119.95,11.11,6.66,1147.0,22.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW No Hands Cake Stuffing,SSBBW No Hands Cake Stuffing,4288487,13.99,45,584.45,350.67,12.99,7.79,1786.0,29.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Bra Changing JOI w/ Cum Countdown,BBW Bra Changing JOI w/ Cum Countdown,4270004,16.99,6,335.7,201.42,55.95,33.57,643.0,23.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Black Bikini Catwalk in Heels,SSBBW Black Bikini Catwalk in Heels,4239089,14.99,37,792.95,475.77,21.43,12.86,1301.0,38.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,SSBBW Giantess GFE,SSBBW Giantess GFE,4238942,16.99,20,392.8,235.68,19.64,11.78,1243.0,21.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Bbw Weight Gain Makes Her Wet,Bbw Weight Gain Makes Her Wet,4193846,16.99,72,1016.28,609.77,14.12,8.47,2228.0,43.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Catwalk Bounce and Tease in Heels,BBW Catwalk Bounce and Tease in Heels,4193084,16.99,35,850.97,510.58,24.31,14.59,2166.0,42.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Kneel and Eat My Fat BBW Pussy,Kneel and Eat My Fat BBW Pussy,3802975,16.99,47,751.88,451.13,16.0,9.6,1845.0,64.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Morning Sex POV Solo,BBW Morning Sex POV Solo,3802955,12.99,105,1141.0,684.6,10.87,6.52,2066.0,51.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fatty Binges T Bell Burritos,Fatty Binges T Bell Burritos,3802945,17.99,13,224.87,134.92,17.3,10.38,1300.0,10.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Girl Sucks and Rides Dildo,Fat Girl Sucks and Rides Dildo,3802901,12.99,37,344.23,206.54,9.3,5.58,1456.0,54.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Denim Shorts BBW Ass Worship,Denim Shorts BBW Ass Worship,3802881,10.99,65,535.75,321.45,8.24,4.95,1823.0,87.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Squirts in the Bathroom,BBW Squirts in the Bathroom,3802869,13.99,37,420.03,252.02,11.35,6.81,1560.0,31.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fatty Jumping on the Squeaky Bed,Fatty Jumping on the Squeaky Bed,3602524,12.99,33,350.27,210.16,10.61,6.37,1723.0,18.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fatty Fucks Herself in the Window,Fatty Fucks Herself in the Window,3489065,12.99,41,520.23,312.14,12.69,7.61,2073.0,53.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Gets Horny From Reading,BBW Gets Horny From Reading,3464942,16.99,10,144.4,86.64,14.44,8.66,1366.0,22.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Bounces Fat in the Shower,BBW Bounces Fat in the Shower,3398102,12.99,35,383.25,229.95,10.95,6.57,2181.0,62.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Party Girl Gets Wrong Room POV Solo,Fat Party Girl Gets Wrong Room POV Solo,3348746,11.99,171,2017.28,1210.37,11.8,7.08,3508.0,109.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Dancing and Masturbating in Mirror,BBW Dancing and Masturbating in Mirror,3269063,15.99,18,277.42,166.45,15.41,9.25,1692.0,34.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Teasing and Pussy Fucking,Fat Teasing and Pussy Fucking,3259480,13.99,40,522.6,313.56,13.07,7.84,1911.0,58.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Naked Yoga,Fat Naked Yoga,3222299,12.99,27,348.78,209.27,12.92,7.75,2160.0,60.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Pussy Dripping on Your Face,Fat Pussy Dripping on Your Face,3204515,13.99,31,349.68,209.81,11.28,6.77,1942.0,58.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Sexy BBW Wants to Masturbate Together,Sexy BBW Wants to Masturbate Together,3193128,16.99,12,174.38,104.63,14.53,8.72,2007.0,35.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Girl Stuffs Donuts and Rides Dildo,Fat Girl Stuffs Donuts and Rides Dildo,3171961,13.99,34,409.57,245.74,12.05,7.23,1911.0,26.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Spread and Begging for Anal,BBW Spread and Begging for Anal,3156543,13.99,27,293.53,176.12,10.87,6.52,2076.0,59.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Stripper Lets You Fuck in VIP,BBW Stripper Lets You Fuck in VIP,3125516,12.99,49,552.57,331.54,11.28,6.77,1872.0,50.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fatty BBW Cums Instead of Exercise,Fatty BBW Cums Instead of Exercise,3112531,12.99,26,290.23,174.14,11.16,6.7,2408.0,38.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Very Berry Fat Body Tease,Very Berry Fat Body Tease,3092012,15.99,3,47.97,28.78,15.99,9.59,1374.0,21.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Fucks Dripping Pussy with Dildo,BBW Fucks Dripping Pussy with Dildo,3076177,16.99,21,337.78,202.67,16.08,9.65,1919.0,35.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Feedee BBW Wants to Stop Gaining POV,Feedee BBW Wants to Stop Gaining POV,3052110,15.99,45,965.43,579.26,21.45,12.87,1166.0,25.0,Custom Vid,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Sexy BBW Oiling Up Her Fat,Sexy BBW Oiling Up Her Fat,3041317,16.99,10,148.9,89.34,14.89,8.93,2017.0,23.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Sweaty Fatty Makes You Lick Her Crevices,Sweaty Fatty Makes You Lick Her Crevices,2994930,16.99,55,824.4,494.64,14.99,8.99,2310.0,55.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Vibes Clit and Drools in a Ball Gag,BBW Vibes Clit and Drools in a Ball Gag,2997592,14.99,11,153.63,92.18,13.97,8.38,1675.0,34.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Slow Sensual Pole Dance,BBW Slow Sensual Pole Dance,2994778,12.99,24,263.77,158.26,10.99,6.59,2256.0,49.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Shaking Her Fat Ass,BBW Shaking Her Fat Ass,2956866,10.99,58,576.77,346.06,9.94,5.97,2377.0,68.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Hairy BBW Pussy Clit Pumped and Vibed,Hairy BBW Pussy Clit Pumped and Vibed,2925716,17.99,15,269.85,161.91,17.99,10.79,2154.0,26.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,BBW Dildo Riding and Facial Cumshot,BBW Dildo Riding and Facial Cumshot,2893861,12.99,41,427.73,256.64,10.43,6.26,2411.0,45.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
ManyVids,Fat Clapping in the Mirror,Fat Clapping in the Mirror,2881240,12.99,7,78.98,47.39,11.28,6.77,1415.0,18.0,Launched,,2026-07-05,,,,all-time content manager snapshot,supplemental all-time content manager rollup,3,outputs/master_content_list_sources/20260705T000921Z_manyvids_content_manager.csv,2026-07-04T20:09:39
