platform,surface,item_id,label,canonical_content_id,canonical_title,content_group,mapping_status,first_date,last_date,first_offered_date,first_offered_basis,first_offered_confidence,recency_basis,grain,sales,gross,net,source_file
Clips4Sale,C4S title snapshot,29037291,Growing SSBBW Cums While Stuffing Pizza,Video 0231,Large Pizza and Fat Pussy,Video,mapped,2024-05-05,2024-05-05,2024-05-02,master content release date,high,release date,supplemental lifetime title snapshot,3.0,74.95,44.97,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27949821,SSBBW Loves Being Bigger Than You,Video 0195,SSBBW Loves Being Bigger Than You,Video,mapped,2023-09-03,2023-09-03,2023-09-03,master content release date,high,release date,supplemental lifetime title snapshot,4.0,71.93,43.16,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,25867347,Fat Party Girl Gets the Wrong Room POV Solo,Video 0153,Fat Party Girl Gets the Wrong Room,Video,mapped,2022-01-27,2022-01-27,2021-11-14,master content release date,high,release date,supplemental lifetime title snapshot,11.0,71.5,42.9,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,32593851,Chargeback Forgiveness 106266925,exact-title:chargeback-forgiveness-106266925,Chargeback Forgiveness 106266925,Video,auto exact-title,2025-12-27,2025-12-27,2025-12-27,C4S date added,medium,release date,supplemental lifetime title snapshot,3.0,69.95,41.97,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28102771,SSBBW Hottie Makes Her Fat Pussy Cum,Video 0199,Vibe Until I Cum,Video,mapped,2023-10-07,2023-10-07,2023-10-05,master content release date,high,release date,supplemental lifetime title snapshot,5.0,69.92,41.95,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28959823,SSBBW Turns Feeder Boyfriend Into Cuckold,Video 0227,Cuckolded By Your Feedee Girlfriend,Video,mapped,2024-04-21,2024-04-21,2024-04-20,master content release date,high,release date,supplemental lifetime title snapshot,4.0,63.93,38.36,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,29475607,Unaware Horny SSBBW Plays With Herself,Video 0246,Secretly Watching Masturbation,Video,mapped,2024-07-24,2024-07-24,2024-07-22,master content release date,high,release date,supplemental lifetime title snapshot,4.0,59.93,35.96,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,29395095,Gaining SSBBW Mistress Teases You POV,Video 0242,Crawling Back to Your Fat Mistress,Video,mapped,2024-07-07,2024-07-07,2024-07-04,master content release date,high,release date,supplemental lifetime title snapshot,4.0,51.93,31.16,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28378185,SSBBW Loves Being Bigger Than You Part 2,Video 0206,Bigger Than You Tease Part 2,Video,mapped,2023-12-14,2023-12-14,2023-12-11,master content release date,high,release date,supplemental lifetime title snapshot,3.0,50.95,30.57,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28864821,Gaining Horny SSBBW Date Wants You POV,Video 0222,Fatter Than the Pictures,Video,mapped,2024-04-03,2024-04-03,2024-04-01,master content release date,high,release date,supplemental lifetime title snapshot,3.0,50.95,30.57,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,24023235,Cover You In Squirt POV,Video 0098,Cover You In Cum POV,Video,mapped,2020-11-11,2020-11-11,2020-08-02,master content release date,high,release date,supplemental lifetime title snapshot,5.0,49.92,29.95,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28927213,SSBBW Stuffs Burgers POV (VISION PRO),exact-title:ssbbw-stuffs-burgers-pov-vision-pro,SSBBW Stuffs Burgers POV (VISION PRO),Video,auto exact-title,2024-04-12,2024-04-12,2024-04-12,C4S date added,medium,release date,supplemental lifetime title snapshot,2.0,47.97,28.78,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27818857,Tight Clothes Make Growing SSBBW Horny,Video 0191,Tight Clothes Make Growing SSBBW Horny,Video,mapped,2023-09-07,2023-09-07,2023-07-31,master content release date,high,release date,supplemental lifetime title snapshot,3.0,47.95,28.77,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28692105,SSBBW Jiggles Thighs and Asss,Video 0214,SSBBW Jiggles Fat Thighs and Ass,Video,mapped,2024-02-25,2024-02-25,2024-02-22,master content release date,high,release date,supplemental lifetime title snapshot,3.0,47.95,28.77,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,24564879,Your Cum Makes Me Gain,Video 0119,Your Cum Makes Me Gain,Video,mapped,2021-02-19,2021-02-19,2021-01-03,master content release date,high,release date,supplemental lifetime title snapshot,4.0,47.93,28.76,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,29332669,Gaining SSBBW Makes Her Buttons Pop,Video 0240,Gaining SSBBW Makes Her Buttons Pop,Video,mapped,2024-06-25,2024-06-25,2024-06-25,master content release date,high,release date,supplemental lifetime title snapshot,3.0,44.95,26.97,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27012947,SSBBW Giantess GFE,Video 0167,SSBBW Giantess GFE,Video,mapped,2022-12-29,2022-12-29,2022-12-16,master content release date,high,release date,supplemental lifetime title snapshot,5.0,42.5,25.5,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28442905,SSBBW Mrs Claus Lets You Eat Ass and Pussy,Video 0208,SSBBW Mrs Claus Lets You Eat Ass and Pussy,Video,mapped,2023-12-27,2023-12-27,2023-12-27,master content release date,high,release date,supplemental lifetime title snapshot,3.0,41.95,25.17,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,28766245,SSBBW Hanging Belly and Fat Clapping,Video 0215,Heavy Hanging Belly,Video,mapped,2024-03-12,2024-03-12,2024-03-09,master content release date,high,release date,supplemental lifetime title snapshot,3.0,41.95,25.17,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,24023281,Smoking and Sensual Belly Rubbing,Video 0094,Smoking and Sensual Rubbing,Video,mapped,2020-11-14,2020-11-14,2020-07-05,master content release date,high,release date,supplemental lifetime title snapshot,4.0,39.93,23.96,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,24019637,Fat Girl Pillow Grinding and Moaning,Video 0079,Horny Pillow Grinding,Video,mapped,2020-11-06,2020-11-06,2020-04-11,master content release date,high,release date,supplemental lifetime title snapshot,4.0,39.93,23.96,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,26184677,Fatty Jumping on the Squeaky Bed,Video 0157,Jumping on the Squeaky Bed,Video,mapped,2022-05-06,2022-05-06,2021-12-21,master content release date,high,release date,supplemental lifetime title snapshot,6.0,39.0,23.4,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,26444891,BBW Morning Sex POV Solo,Video 0162,POV Morning Sex,Video,mapped,2022-08-11,2022-08-11,2022-03-29,master content release date,high,release date,supplemental lifetime title snapshot,6.0,39.0,23.4,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,24019181,400lb SSBBW Sits On Your Chest,Video 0053,Weight on Your Chest,Video,mapped,2020-10-25,2020-10-25,2019-09-13,master content release date,high,release date,supplemental lifetime title snapshot,3.0,35.95,21.57,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27386809,SSBBW Plays with Fat Pussy and Bounces on Your Cock,Video 0174,Bouncing on Your Cock,Video,mapped,2023-04-05,2023-04-05,2023-03-15,master content release date,high,release date,supplemental lifetime title snapshot,5.0,35.0,21.0,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
Clips4Sale,C4S title snapshot,27040951,SSBBW No Hands Cake Stuffing,Video 0170,SSBBW No Hands Cake Stuffing,Video,mapped,2023-01-06,2023-01-06,2023-01-06,master content release date,high,release date,supplemental lifetime title snapshot,5.0,35.0,21.0,2026-07-05_15-35-35_title_summary_2026-01-01_to_2026-07-05_Sales_Summary_by_Title_1-01-2026_to_1-01-2026.csv
