message_id,message_type,date,clean_item_label,price_tier,price,purchases,sent,viewed,view_rate,purchase_rate,gross,estimated_net,gross_per_viewed,net_per_viewed,net_per_1000_viewed,source_file
pdf-message-bbc5c3ddfff84a09,group,2025-08-16,"You love the way my stockings look and feel, and love them even better when I rip them open for you to eat that fat, wet pussy. Unlock for 😍 pussy, and pretty pedicured toes! NEW",$21.99,21.99,21,6515,2848,0.4371,0.0074,461.79,369.43,0.1621,0.1297,129.72,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-edc5739dcc8a4414,group,2024-01-31,🛀 🤭 Here's a little discount to see how my fat ass barely fits in this two-person tub! NEW,$10.99,10.99,13,1432,881,0.6152,0.0148,142.87,114.3,0.1622,0.1297,129.74,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-c8ea99e4b62c01e4,group,2026-04-06,"I love how much I've gained over the years, and I thought you might want to hear how it's impacted the way I exercise. Hang out with me while 🏋🏻‍♀️ 💪 and chat about moving in a massive 530lb body!",$27.99,27.99,16,7324,2841,0.3879,0.0056,447.84,358.27,0.1576,0.1261,126.11,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-56fff3b3e511c7f2,group,2025-11-14,"😍 Six years after her last visit, Dorothy is back in Oz and fatter than ever! The Wizard won't be able to resist her luscious new body. If you 🌈 gain, sparkly red heels, and POV fucking, you definitely don't want to miss this one! NEW",$23.99,23.99,19,6897,2912,0.4222,0.0065,455.81,364.65,0.1565,0.1252,125.22,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-ee4de9eed111e148,group,2025-08-10,"You've always dreamed what it would feel like to be crushed under my massive 525lb body, now I'm gonna show you. Unlock to see how I 🥞 🍑 you flat under my ass and feet! NEW",$17.99,17.99,24,6428,2764,0.43,0.0087,431.76,345.41,0.1562,0.125,124.97,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-67e781089e690973,group,2024-06-14,"🥵 It feels so good running my hands over my glistening, oil-covered fat! You won't be able to keep your hands from your cock! NEW",$15.99,15.99,20,3283,2050,0.6244,0.0098,319.8,255.84,0.156,0.1248,124.8,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-2775c22502026aff,group,2025-04-29,"You've been seeing your psychologist for a while now and she thinks it's time for you to take the next step in accepting your fat attraction! 🍕 🤤 be watching her stuff her face, while she helps you come to terms with your desire! NEW",$24.99,24.99,17,5820,2747,0.472,0.0062,424.83,339.86,0.1547,0.1237,123.72,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-1f462e34bb334863,group,2024-07-20,"You found the perfect hiding spot to spy on her, and you get the hottest show you can imagine! Live out your voyeuristic fantasies with me. NEW",$12.99,12.99,24,3676,2099,0.571,0.0114,311.76,249.41,0.1485,0.1188,118.82,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-4d60607aad55b166,group,2024-06-24,My clothes are so tight from all the weight I've gained that they're bursting at the buttons! It's so fucking hot seeing what my new body does 🥵 clothes! NEW,$11.99,11.99,25,3367,2030,0.6029,0.0123,299.75,239.8,0.1477,0.1181,118.13,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
pdf-message-9bf308e7b69b9b45,group,2026-04-27,"I love sharing my weight gain journey with you, so you're getting an even closer look at my daily diet with a kitchen tour! Chat with me about 🚬 🍪 diet has evolved with my growth while I smoke, snack, and show off my well-stocked cupboards!",$27.99,27.99,14,7365,2665,0.3618,0.0053,391.86,313.49,0.147,0.1176,117.63,2026-07-04_19-56-54_onlyfans_native_messages_pdf_Statistics 1 — OnlyFans.json
