rank,canonical_content_id,canonical_title,content_group,platform_list,surface_list,sales,gross,net,avg_net,first_offered_date,first_offered_basis,first_offered_confidence,days_since_launch,sales_per_day,net_per_day,latest_date,mapping_status,source_rows,c4s_sales,c4s_gross,c4s_net,curvage_sales,curvage_gross,curvage_net,manyvids_sales,manyvids_gross,manyvids_net,onlyfans_sales,onlyfans_gross,onlyfans_net,modelcentro_sales,modelcentro_gross,modelcentro_net
1,unmapped:modelcentro:full-site-access,Full site access!,,ModelCentro,ModelCentro transaction,1421,27765.97,18350.51,12.91,2026-01-01,sale date,low,203,7.0,90.4,2026-07-20,needs mapping,1421,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1421,27765.97,18350.51
2,Video 0295,Best Friend's Mom Teases You,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, ManyVids transaction, OF mass message, OF post",206,5045.69,3721.3,18.06,2026-05-21,master content release date,high,63,3.27,59.07,2026-07-21,mapped,73,4,111.93,67.16,90,1799.1,1331.1,33,923.45,554.07,79,2211.21,1768.97,0,0.0,0.0
3,Video 0288,Diet Pills Gone Wrong,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message, OF post",230,3885.9,2883.2,12.54,2026-02-22,master content release date,high,151,1.52,19.09,2026-07-20,mapped,77,1,14.98,8.99,163,2881.7,2136.78,18,269.7,161.82,48,719.52,575.61,0,0.0,0.0
4,Video 0289,HR Fatty Makes You Her Feeder POV,Video,"Curvage, ManyVids, OnlyFans","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message",183,2957.76,2204.43,12.05,2026-03-04,master content release date,high,141,1.3,15.63,2026-07-21,mapped,65,0,0.0,0.0,135,1998.31,1480.84,11,219.82,131.89,37,739.63,591.7,0,0.0,0.0
5,Video 0291,Exercise After Gaining,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message",83,2667.33,1975.15,23.8,2026-04-06,master content release date,high,108,0.77,18.29,2026-07-19,mapped,40,1,27.98,16.79,58,1967.64,1460.17,7,195.88,117.53,17,475.83,380.66,0,0.0,0.0
6,Video 0290,Stuffed Girlfriend Gets Gassy,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message, OF post",116,2618.61,1938.38,16.71,2026-03-11,master content release date,high,134,0.87,14.47,2026-07-21,mapped,45,3,59.95,35.97,85,1998.99,1482.65,7,139.88,83.93,21,419.79,335.83,0,0.0,0.0
7,Video 0297,Greedy SSBBW Devours Roommates Leftovers,Video,"Clips4Sale, Curvage, ManyVids","C4S title snapshot, Curvage Purchases per clips, ManyVids transaction",73,2700.16,1919.47,26.29,2026-06-27,master content release date,high,26,2.81,73.83,2026-07-21,mapped,32,6,221.9,133.14,56,2071.44,1542.24,11,406.82,244.09,0,0.0,0.0,0,0.0,0.0
8,Video 0294,Gaining SSBBW Wants to Reach 600lbs,Video,"Curvage, ManyVids, OnlyFans","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message",110,2391.55,1768.06,16.07,2026-05-04,master content release date,high,80,1.38,22.1,2026-07-19,mapped,44,0,0.0,0.0,66,1512.08,1120.44,14,279.77,167.86,30,599.7,479.76,0,0.0,0.0
9,Video 0298,Gaining SSBBW Weigh-In: Heavier Than Ever?,Video,"Clips4Sale, Curvage, ManyVids","C4S title snapshot, Curvage Purchases per clips, ManyVids transaction",63,2330.18,1579.87,25.08,2026-07-19,master content release date,high,4,15.75,394.97,2026-07-22,mapped,13,21,776.65,465.99,34,1257.66,936.36,8,295.87,177.52,0,0.0,0.0,0,0.0,0.0
10,Video 0287,Gassy Giantess Gobbles You Up,Video,"Clips4Sale, Curvage, ManyVids, OnlyFans","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction, OF mass message, OF post",74,2068.53,1562.12,21.11,2026-01-30,master content release date,high,174,0.43,8.98,2026-07-14,mapped,28,1,24.98,14.99,31,994.01,737.48,6,149.9,89.94,36,899.64,719.71,0,0.0,0.0
11,Video 0285,Greedy SSBBW Stuffs Whole Thanksgiving Dinner,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",41,1691.35,1246.35,30.4,2025-12-01,master content release date,high,234,0.18,5.33,2026-07-20,mapped,38,0,0.0,0.0,39,1627.38,1207.97,2,63.97,38.38,0,0.0,0.0,0,0.0,0.0
12,Video 0277,Co-workers' Revenge: Cake Stuffing and Rapid Growth,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",42,1548.6,1133.24,26.98,2025-07-21,master content release date,high,367,0.11,3.09,2026-07-16,mapped,39,0,0.0,0.0,38,1436.67,1066.08,4,111.93,67.16,0,0.0,0.0,0,0.0,0.0
13,unmapped:modelcentro:1-month-membership,1 Month Membership,,ModelCentro,ModelCentro transaction,64,1279.36,845.36,13.21,2026-01-02,sale date,low,202,0.32,4.18,2026-07-18,needs mapping,64,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,64,1279.36,845.36
14,unmapped:onlyfans:woke-up-starving-but-everything-is-closed-good-thing-my-roommate-has-a,"Woke up starving but everything is closed! Good thing my roommate has a ton of leftovers in the fridge. 👀 I plan to only take a few bites, but quickly lose control devouring everything in sight! Suddenly her alarm goes off, I try to cover u",,OnlyFans,"OF mass message, OF post",27,998.73,798.98,29.59,2026-06-28,OF message sent date,medium,25,1.08,31.96,2026-07-18,needs mapping,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,27,998.73,798.98,0,0.0,0.0
15,Video 0111,Stuffing My Face With Pizza,Video,"ManyVids, OnlyFans","ManyVids transaction, OF mass message, OF post",25,902.74,719.2,28.77,2020-10-24,master content release date,high,2098,0.01,0.34,2026-07-18,mapped,3,0,0.0,0.0,0,0.0,0.0,1,14.98,8.99,24,887.76,710.21,0,0.0,0.0
16,Video 0296,Fucking Your Stuffed SSBBW Girlfriend POV,Video,"Clips4Sale, ManyVids, OnlyFans","C4S title snapshot, ManyVids transaction, OF mass message",47,986.38,696.78,14.83,2026-06-11,master content release date,high,42,1.12,16.59,2026-07-19,mapped,23,1,20.98,12.59,0,0.0,0.0,21,440.65,264.39,25,524.75,419.8,0,0.0,0.0
17,unmapped:onlyfans:since-my-recent-video-where-i-gave-you-a-real-peek-inside-my-kitchen-c,"Since my recent video where I gave you a real peek inside my kitchen cabinets and talked candidly about my eating habits, it seems that you wanted to hear more! I've ordered dinner from my favorite Thai place, and I'm here to tell you more",,OnlyFans,OF post,23,850.77,680.62,29.59,2026-07-19,OF post date,medium,4,5.75,170.16,2026-07-19,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,23,850.77,680.62,0,0.0,0.0
18,Video 0293,The Diet of a Gaining SSBBW,Video,"Curvage, ManyVids, OnlyFans","Curvage Purchases per clips, ManyVids transaction, OF mass message, OF post",26,727.73,558.17,21.47,2026-04-27,master content release date,high,87,0.3,6.42,2026-07-18,mapped,11,0,0.0,0.0,8,223.92,166.32,2,55.97,33.58,16,447.84,358.27,0,0.0,0.0
19,Video 0273,SSBBW Burps and Farts While Stuffing,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",15,709.12,501.51,33.43,2025-04-16,master content release date,high,463,0.03,1.08,2026-07-20,mapped,15,0,0.0,0.0,10,534.2,396.56,5,174.92,104.95,0,0.0,0.0,0,0.0,0.0
20,unmapped:onlyfans:your-wife-comes-home-and-doesn-t-even-glance-at-you-before-tearing-int,"Your wife comes home and doesn't even glance at you before tearing into her family size bucket of chicken! Unlock if you love stroking to the sultry sounds of chewing, burping, and farts! 🍗",,OnlyFans,OF post,22,351.78,281.42,12.79,2026-02-01,OF post date,medium,172,0.13,1.64,2026-02-01,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,22,351.78,281.42,0,0.0,0.0
21,Video 0283,Dorothy Returns to Oz POV,Video,"ManyVids, OnlyFans","ManyVids transaction, OF post",16,383.78,263.85,16.49,2025-11-14,master content release date,high,251,0.06,1.05,2026-07-19,mapped,10,0,0.0,0.0,0,0.0,0.0,9,215.85,129.51,7,167.93,134.34,0,0.0,0.0
22,Video 0264,Boyfriend Gets Vored,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",13,360.13,260.89,20.07,2024-12-23,master content release date,high,577,0.02,0.45,2026-07-19,mapped,13,0,0.0,0.0,11,316.16,234.51,2,43.97,26.38,0,0.0,0.0,0,0.0,0.0
23,Video 0279,SSBBW Squashes You Under Ass and Feet,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",7,348.4,253.32,36.19,2025-08-09,master content release date,high,348,0.02,0.73,2026-06-19,mapped,7,0,0.0,0.0,5,312.43,231.74,2,35.97,21.58,0,0.0,0.0,0,0.0,0.0
24,Video 0292,Stuffed and Horny,Video,ManyVids,ManyVids transaction,11,406.82,244.09,22.19,2026-04-20,master content release date,high,94,0.12,2.6,2026-07-11,mapped,11,0,0.0,0.0,0,0.0,0.0,11,406.82,244.09,0,0.0,0.0,0,0.0,0.0
25,unmapped:modelcentro:12-month-membership-best-value,12 Month Membership - Best Value!,,ModelCentro,ModelCentro transaction,2,312.0,210.6,105.3,2026-01-20,sale date,low,184,0.01,1.14,2026-05-09,needs mapping,2,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,2,312.0,210.6
26,Video 0246,Stuffing and Makeout POV,Video,Curvage,"Curvage Purchases per clips, Curvage title-count allocation",9,252.57,187.39,20.82,2024-07-01,master content release date,high,752,0.01,0.25,2026-06-15,mapped,9,0,0.0,0.0,9,252.57,187.39,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
27,Video 0286,Ex GF Got Fat - Holiday Hookup,Video,"Curvage, ManyVids","Curvage Purchases per clips, ManyVids transaction",14,292.79,182.71,13.05,2025-12-26,master content release date,high,209,0.07,0.87,2026-07-21,mapped,14,0,0.0,0.0,3,50.97,37.62,11,241.82,145.09,0,0.0,0.0,0,0.0,0.0
28,Video 0272,Stuffing Until I'm Stuck,Video,Curvage,"Curvage Purchases per clips, Curvage title-count allocation",7,227.36,168.74,24.11,2025-04-11,master content release date,high,468,0.01,0.36,2026-07-18,mapped,7,0,0.0,0.0,7,227.36,168.74,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
29,Video 0270,After-Gym Stuffing,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",8,203.94,148.35,18.54,2025-03-10,master content release date,high,500,0.02,0.3,2026-06-23,mapped,8,0,0.0,0.0,7,183.96,136.36,1,19.98,11.99,0,0.0,0.0,0,0.0,0.0
30,Video 0259,SSBBW Smokes After Thanksgiving Stuffing,Video,Curvage,"Curvage Purchases per clips, Curvage title-count allocation",6,196.33,145.74,24.29,2024-11-29,master content release date,high,601,0.01,0.24,2026-07-06,mapped,6,0,0.0,0.0,6,196.33,145.74,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
31,Video 0263,Measurements and Weigh-In,Video,"Clips4Sale, Curvage","C4S title snapshot, Curvage Purchases per clips, Curvage title-count allocation",5,197.21,141.51,28.3,2024-12-18,master content release date,high,582,0.01,0.24,2026-07-22,mapped,5,1,34.98,20.99,4,162.23,120.52,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
32,unmapped:modelcentro:3-month-membership,3 Month Membership,,ModelCentro,ModelCentro transaction,4,200.0,135.0,33.75,2026-01-05,sale date,low,199,0.02,0.68,2026-07-04,needs mapping,4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,200.0,135.0
33,Video 0276,Neighbor Gets Bred,Video,ManyVids,ManyVids transaction,7,146.88,88.13,12.59,2025-06-10,master content release date,high,408,0.02,0.22,2026-07-18,mapped,7,0,0.0,0.0,0,0.0,0.0,7,146.88,88.13,0,0.0,0.0,0,0.0,0.0
34,Video 0204,Friends With Benefits,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",8,127.89,81.2,10.15,2023-11-18,master content release date,high,978,0.01,0.08,2026-07-02,mapped,8,0,0.0,0.0,0,0.0,0.0,4,67.93,40.76,0,0.0,0.0,4,59.96,40.44
35,unmapped:onlyfans:straight-from-the-bowl-to-your-tongue-clean-up-toilet-slut,Straight from the bowl to your tongue. Clean up toilet slut 👅,,OnlyFans,OF direct message,1,100.0,80.0,80.0,2026-03-11,OF message sent date,medium,134,0.01,0.6,2026-03-11,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,100.0,80.0,0,0.0,0.0
36,Video 0255,Soda Chug and Burping,Video,Curvage,"Curvage Purchases per clips, Curvage title-count allocation",4,106.93,79.33,19.83,2024-10-30,master content release date,high,631,0.01,0.13,2026-07-06,mapped,4,0,0.0,0.0,4,106.93,79.33,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
37,Video 0266,Wife Wants to Stop Gaining the Reboot,Video,ManyVids,ManyVids transaction,6,131.9,79.14,13.19,2025-02-20,master content release date,high,518,0.01,0.15,2026-07-14,mapped,6,0,0.0,0.0,0,0.0,0.0,6,131.9,79.14,0,0.0,0.0,0,0.0,0.0
38,Video 0248,Hotel Concierge Fucking POV,Video,ManyVids,ManyVids transaction,7,125.88,75.53,10.79,2024-07-10,master content release date,high,743,0.01,0.1,2026-07-10,mapped,7,0,0.0,0.0,0,0.0,0.0,7,125.88,75.53,0,0.0,0.0,0,0.0,0.0
39,Video 0254,SSBBW Ex Wants to Get Pregnant,Video,ManyVids,ManyVids transaction,9,125.85,75.51,8.39,2024-10-27,master content release date,high,634,0.01,0.12,2026-07-18,mapped,9,0,0.0,0.0,0,0.0,0.0,9,125.85,75.51,0,0.0,0.0,0,0.0,0.0
40,Video 0261,Mutual Gaining Fantasy,Video,"Curvage, ManyVids","Curvage Purchases per clips, Curvage title-count allocation, ManyVids transaction",4,104.51,74.0,18.5,2024-12-05,master content release date,high,595,0.01,0.12,2026-07-19,mapped,4,0,0.0,0.0,3,79.53,59.01,1,24.98,14.99,0,0.0,0.0,0,0.0,0.0
41,Video 0282,Hungry Girlfriend Ignores You,Video,"Curvage, ManyVids","Curvage Purchases per clips, ManyVids transaction",7,111.9,73.73,10.53,2025-10-18,master content release date,high,278,0.03,0.27,2026-07-06,mapped,7,0,0.0,0.0,3,47.97,35.37,4,63.93,38.36,0,0.0,0.0,0,0.0,0.0
42,Video 0252,Anniversary Fuck POV,Video,ManyVids,ManyVids transaction,6,119.9,71.94,11.99,2024-07-25,master content release date,high,728,0.01,0.1,2026-07-16,mapped,6,0,0.0,0.0,0,0.0,0.0,6,119.9,71.94,0,0.0,0.0,0,0.0,0.0
43,unmapped:onlyfans:you-have-been-such-a-good-boy-i-love-to-see-you-beg-for-me,"You have been such a good boy, I love to see you beg for me.",,OnlyFans,OF direct message,1,85.0,68.0,68.0,2026-03-11,OF message sent date,medium,134,0.01,0.51,2026-03-11,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,85.0,68.0,0,0.0,0.0
44,unmapped:onlyfans:i-love-how-much-i-ve-gained-over-the-years-and-i-thought-you-might-wan,"I love how much I've gained over the years, and I thought you might want to hear how it's impacted the way I exercise. Hang out with me while I smoke and chat about moving in a massive 530lb body! 🏋🏻‍♀️💪",,OnlyFans,OF post,3,83.97,67.18,22.39,2026-07-18,OF post date,medium,5,0.6,13.44,2026-07-18,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,3,83.97,67.18,0,0.0,0.0
45,unmapped:onlyfans:you-surprised-your-girlfriend-with-her-favorite-treats-and-it-turned-o,You surprised your girlfriend with her favorite treats and it turned out just how you planned - with her face and pussy stuffed 🧁🥵,,OnlyFans,OF post,4,83.96,67.17,16.79,2026-07-18,OF post date,medium,5,0.8,13.43,2026-07-18,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,83.96,67.17,0,0.0,0.0
46,Video 0219,Horny SSBBW Succubus Grows for Your Cum POV,Video,Curvage,"Curvage Purchases per clips, Curvage title-count allocation",4,80.21,59.43,14.86,2024-03-10,master content release date,high,865,0.0,0.07,2026-06-20,mapped,4,0,0.0,0.0,4,80.21,59.43,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
47,Video 0238,Fucking My Creamy Fat Pussy,Video,ManyVids,ManyVids transaction,8,95.87,57.52,7.19,2024-05-13,master content release date,high,801,0.01,0.07,2026-06-27,mapped,8,0,0.0,0.0,0,0.0,0.0,8,95.87,57.52,0,0.0,0.0,0,0.0,0.0
48,unmapped:onlyfans:onlyfans-message-36849649720,OnlyFans message 36849649720,,OnlyFans,OF direct message,1,70.0,56.0,56.0,2026-03-10,OF message sent date,medium,135,0.01,0.41,2026-03-10,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,70.0,56.0,0,0.0,0.0
49,Video 0229,Squirting on the First Date,Video,"Clips4Sale, ManyVids","C4S title snapshot, ManyVids transaction",4,92.93,55.76,13.94,2024-04-10,master content release date,high,834,0.0,0.07,2026-05-31,mapped,4,1,26.98,16.19,0,0.0,0.0,3,65.95,39.57,0,0.0,0.0,0,0.0,0.0
50,unmapped:onlyfans:yes-that-s-suchhh-a-good-boy-you-belong-only-to-me-you-exist-to-worshi,"Yes that’s suchhh a good boy. You belong only to me, you exist to worship my fat, swallow those big stinky logs, and drink from my dripping pussy. Imagine if I even let you stick your cock into my stinky dirty asshole. Coating it completely",,OnlyFans,OF direct message,1,60.0,48.0,48.0,2026-03-11,OF message sent date,medium,134,0.01,0.36,2026-03-11,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,60.0,48.0,0,0.0,0.0
51,Video 0192,Tight Clothes Make Growing SSBBW Horny,Video,ModelCentro,ModelCentro transaction,5,69.95,47.2,9.44,2023-07-31,master content release date,high,1088,0.0,0.04,2026-07-06,mapped,5,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,69.95,47.2
52,Video 0154,Fat Party Girl Gets the Wrong Room,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",6,71.91,44.94,7.49,2021-11-14,master content release date,high,1712,0.0,0.03,2026-07-06,mapped,6,0,0.0,0.0,0,0.0,0.0,4,47.93,28.76,0,0.0,0.0,2,23.98,16.18
53,Video 0249,Impregnation Fantasy Chat,Video,Curvage,"Curvage Purchases per clips, Curvage title-count allocation",4,60.43,44.64,11.16,2024-07-11,master content release date,high,742,0.01,0.06,2026-07-21,mapped,4,0,0.0,0.0,4,60.43,44.64,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
54,Video 0250,Belly Worship to Keep Your Job,Video,"Curvage, ManyVids","Curvage Purchases per clips, ManyVids transaction",4,63.95,42.76,10.69,2024-07-18,master content release date,high,735,0.01,0.06,2026-05-29,mapped,4,0,0.0,0.0,2,31.98,23.58,2,31.97,19.18,0,0.0,0.0,0,0.0,0.0
55,Video 0225,Magical Belly Growth and Riding POV,Video,ManyVids,ManyVids transaction,3,68.95,41.37,13.79,2024-03-31,master content release date,high,844,0.0,0.05,2026-07-17,mapped,3,0,0.0,0.0,0,0.0,0.0,3,68.95,41.37,0,0.0,0.0,0,0.0,0.0
56,Video 0164,Kneel and Eat My Fat Pussy,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",4,66.94,41.36,10.34,2022-05-07,master content release date,high,1538,0.0,0.03,2026-07-13,mapped,4,0,0.0,0.0,0,0.0,0.0,3,50.95,30.57,0,0.0,0.0,1,15.99,10.79
57,Video 0262,Cum for My Fat Part 2,Video,ManyVids,ManyVids transaction,4,67.93,40.76,10.19,2024-12-11,master content release date,high,589,0.01,0.07,2026-06-16,mapped,4,0,0.0,0.0,0,0.0,0.0,4,67.93,40.76,0,0.0,0.0,0,0.0,0.0
58,Video 0213,Room Service Stuffing,Video,"Curvage, OnlyFans","Curvage Purchases per clips, OF direct message",2,51.99,40.29,20.14,2024-01-17,master content release date,high,918,0.0,0.04,2026-07-17,mapped,2,0,0.0,0.0,1,21.99,16.29,0,0.0,0.0,1,30.0,24.0,0,0.0,0.0
59,Video 0284,Therapist Turns You Into a Feeder Part 3,Video,"Curvage, ManyVids","Curvage Purchases per clips, ManyVids transaction",2,59.97,40.28,20.14,2025-11-19,master content release date,high,246,0.01,0.16,2026-07-10,mapped,2,0,0.0,0.0,1,29.99,22.29,1,29.98,17.99,0,0.0,0.0,0,0.0,0.0
60,Video 0163,POV Morning Sex,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",5,60.93,38.19,7.64,2022-03-29,master content release date,high,1577,0.0,0.02,2026-07-08,mapped,5,0,0.0,0.0,0,0.0,0.0,3,38.95,23.37,0,0.0,0.0,2,21.98,14.82
61,Video 0228,Jiggling SSBBW Working Out in Lingerie,Video,Curvage,"Curvage Purchases per clips, Curvage title-count allocation",3,50.43,37.22,12.41,2024-04-10,master content release date,high,834,0.0,0.04,2026-07-22,mapped,3,0,0.0,0.0,3,50.43,37.22,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
62,Video 0268,SSBBW Rips Leggings and Fucks Pussy,Video,ManyVids,ManyVids transaction,3,59.95,35.97,11.99,2025-03-02,master content release date,high,508,0.01,0.07,2026-05-31,mapped,3,0,0.0,0.0,0,0.0,0.0,3,59.95,35.97,0,0.0,0.0,0,0.0,0.0
63,Video 0178,Fat Dom GF Makes you Clean Sweaty Ass and Pussy,Video,"Clips4Sale, ManyVids, ModelCentro","C4S title snapshot, ManyVids transaction, ModelCentro transaction",4,55.94,35.36,8.84,2023-05-03,master content release date,high,1177,0.0,0.03,2026-07-02,mapped,4,1,15.98,9.59,0,0.0,0.0,1,15.98,9.59,0,0.0,0.0,2,23.98,16.18
64,Video 0130,Sucking and Fucking in the Sun,Video,ModelCentro,ModelCentro transaction,4,51.96,35.04,8.76,2021-04-22,master content release date,high,1918,0.0,0.02,2026-07-06,mapped,4,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,4,51.96,35.04
65,Video 0218,Heavy Hanging Belly,Video,ManyVids,ManyVids transaction,4,55.93,33.56,8.39,2024-03-09,master content release date,high,866,0.0,0.04,2026-07-18,mapped,4,0,0.0,0.0,0,0.0,0.0,4,55.93,33.56,0,0.0,0.0,0,0.0,0.0
66,unmapped:onlyfans:onlyfans-message-39435921652,OnlyFans message 39435921652,,OnlyFans,OF direct message,1,40.0,32.0,32.0,2026-04-30,OF message sent date,medium,84,0.01,0.38,2026-04-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,40.0,32.0,0,0.0,0.0
67,unmapped:onlyfans:onlyfans-message-39433209237,OnlyFans message 39433209237,,OnlyFans,OF direct message,1,40.0,32.0,32.0,2026-04-30,OF message sent date,medium,84,0.01,0.38,2026-04-30,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,40.0,32.0,0,0.0,0.0
68,exact-title:1-month-club-renewal,1 Month Club Renewal,Video,ManyVids,ManyVids transaction,4,39.95,31.96,7.99,2026-02-28,sale date,low,145,0.03,0.22,2026-05-14,auto exact-title,4,0,0.0,0.0,0,0.0,0.0,4,39.95,31.96,0,0.0,0.0,0,0.0,0.0
69,Video 0172,Milkshake and Soda Bloated Belly Belching,Video,Curvage,"Curvage Purchases per clips, Curvage title-count allocation",3,42.02,31.06,10.35,2023-01-17,master content release date,high,1283,0.0,0.02,2026-07-02,mapped,3,0,0.0,0.0,3,42.02,31.06,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
70,Video 0222,Seducing You Into Impregnation,Video,ManyVids,ManyVids transaction,3,50.95,30.57,10.19,2024-03-15,master content release date,high,860,0.0,0.04,2026-05-31,mapped,3,0,0.0,0.0,0,0.0,0.0,3,50.95,30.57,0,0.0,0.0,0,0.0,0.0
71,Video 0126,Creampie My Pussy,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",3,48.96,30.49,10.16,2021-03-25,master content release date,high,1946,0.0,0.02,2026-06-04,mapped,3,0,0.0,0.0,0,0.0,0.0,2,33.97,20.38,0,0.0,0.0,1,14.99,10.11
72,Video 0144,Stripper Lets You Fuck in VIP - POV solo,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",4,45.95,30.02,7.5,2021-09-03,master content release date,high,1784,0.0,0.02,2026-06-07,mapped,4,0,0.0,0.0,0,0.0,0.0,1,12.98,7.79,0,0.0,0.0,3,32.97,22.23
73,Video 0265,Gaining for Daddy,Video,Curvage,Curvage Purchases per clips,2,39.98,29.58,14.79,2025-02-17,master content release date,high,521,0.0,0.06,2026-07-20,mapped,2,0,0.0,0.0,2,39.98,29.58,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
74,unmapped:onlyfans:every-second-of-your-day-is-spent-day-dreaming-of-my-holes-spread-wide,"Every second of your day is spent day dreaming of my holes spread wide and ready to pummel you with farts, and fill you with all the stinky fudge and sweet juices. No matter what you’re doing, your goddess is the top of your mind aren’t I?",,OnlyFans,OF direct message,1,35.0,28.0,28.0,2026-03-11,OF message sent date,medium,134,0.01,0.21,2026-03-11,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,35.0,28.0,0,0.0,0.0
75,unmapped:onlyfans:onlyfans-message-36846236309,OnlyFans message 36846236309,,OnlyFans,OF direct message,1,35.0,28.0,28.0,2026-03-10,OF message sent date,medium,135,0.01,0.21,2026-03-10,needs mapping,1,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,35.0,28.0,0,0.0,0.0
76,Video 0274,Work Meeting Masturbation,Video,ManyVids,ManyVids transaction,2,43.97,26.38,13.19,2025-04-23,master content release date,high,456,0.0,0.06,2026-03-19,mapped,2,0,0.0,0.0,0,0.0,0.0,2,43.97,26.38,0,0.0,0.0,0,0.0,0.0
77,Video 0280,Pantyhose Pussy Licking and Toe Sucking,Video,ManyVids,ManyVids transaction,2,43.97,26.38,13.19,2025-08-16,master content release date,high,341,0.01,0.08,2026-06-19,mapped,2,0,0.0,0.0,0,0.0,0.0,2,43.97,26.38,0,0.0,0.0,0,0.0,0.0
78,Video 0200,Vibe Until I Cum,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",3,39.96,25.91,8.64,2023-10-05,master content release date,high,1022,0.0,0.03,2026-07-18,mapped,3,0,0.0,0.0,0,0.0,0.0,1,13.98,8.39,0,0.0,0.0,2,25.98,17.52
79,Video 0125,Underwater Body Jiggle,Video,"ManyVids, ModelCentro","ManyVids transaction, ModelCentro transaction",3,40.96,25.54,8.51,2021-03-14,master content release date,high,1957,0.0,0.01,2026-06-16,mapped,3,0,0.0,0.0,0,0.0,0.0,2,27.97,16.78,0,0.0,0.0,1,12.99,8.76
80,Video 0232,Worship My Sweaty Ass,Video,ManyVids,ManyVids transaction,2,41.97,25.18,12.59,2024-04-22,master content release date,high,822,0.0,0.03,2026-05-10,mapped,2,0,0.0,0.0,0,0.0,0.0,2,41.97,25.18,0,0.0,0.0,0,0.0,0.0
81,Video 0237,Your Fave Hookup Got Fat,Video,Curvage,Curvage Purchases per clips,2,33.98,25.08,12.54,2024-05-10,master content release date,high,804,0.0,0.03,2026-07-06,mapped,2,0,0.0,0.0,2,33.98,25.08,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0
